TC_ID,Status,Module,Description,Expected
SAL-037,Changed | Already Covered,Sales,"Split Sales Invoice into four types: Export, Within State, Other States, Union Territory",All four invoice type options are available for selection
SAL-038,Changed | Already Covered,Sales,Export Invoice: GST not applicable; add optional 'Import & Export Code' field; update print label,GST is 0%; IEC field present; label shows 'Export Invoice'; IEC from company profile printed
SAL-039,Changed | Already Covered,Sales,Auto-calculate GST based on Place of Supply (CGST+SGST / IGST / UTGST / 0%),GST auto-calculated correctly per Place of Supply rules
PUR-007,Changed | Already Covered,Purchase Order,Add 'Delivery Tolerance' and 'Over Delivery Tolerance' fields in PO; values must flow to GRN,Both tolerance fields present in PO and values carry over to GRN
PUR-008,Changed | Already Covered,Purchase Order,Watermark 'Approved' on approved PO PDF; 'Not Approved' on Draft PDF,Draft PDF shows 'Not Approved'; Approved PDF shows 'Approved' watermark
PUR-009,Changed | Already Covered,Purchase Order,PDF: Print CGST and SGST values only – remove '%' suffix above 'Total Amount' in footer,CGST and SGST values printed without '%' suffix in PDF footer
PUR-010,Changed | Already Covered,Purchase Order,GST should not auto-fill before product is selected in Purchase Order,GST field remains blank until a product is selected
GRN-014,Changed | Already Covered,GRN,Add S.No / Line Item number column in GRN and enable item search box,S.No visible on each GRN line; search box available for items
GRN-015,Changed | Already Covered,GRN,Received Qty must not exceed PO Quantity; accept within Delivery Tolerance,System prevents Received Qty exceeding PO Qty; accepts qty within Delivery Tolerance
STO-008,Changed | Already Covered,Stock Master,Multiple batches of same product must display as separate line items in Stock Master,Each batch of a product displays as a separate line item in Stock Master
STO-009,Changed | Already Covered,Stock Master,"Add Inventory Count module: auto count number (INV-MONTH-001), count date, performed by, and product input fields",Module available; count number auto-generated; all fields functional; Confirm works
STO-010,Changed | Already Covered,Stock Master,Add 'Inventory Count Difference' module (admin only) showing count vs existing stock and variance,Module accessible to admin only; shows product stock with count vs existing and difference values
PRO-015,Changed | Already Covered,Products Master,Remove 'Opening Stock' field from Products Master,'Opening Stock' field is not present in Products Master
SAL-040,Changed,Sales,Batch should auto-fill or show as dropdown when product is selected in Sales Invoice,Batch field auto-fills or shows dropdown linked to selected product
SAL-041,Changed,Sales,Exp Date and Mfg Date must auto-fill based on selected Batch in Sales Invoice,Exp Date and Mfg Date auto-populate from selected batch
SAL-042,Changed,Sales,Add Packing Unit field to Sales Invoice,Packing Unit field present and functional in Sales Invoice
SAL-043,Changed,Sales,Shipping address must be validated before Sales Invoice creation,System validates shipping address before allowing invoice creation
SAL-044,Changed,Sales,Mfg Date and Exp Date validation not working – wrong dates/batch accepted; stock reduces incorrectly,System rejects invoice with invalid Mfg/Exp dates or wrong batch; stock does not reduce
COM-001,Changed | Already Covered,Company,"Add field ""Import and Export Code"" and make it as optional field

This field have to be added in Export Sales invoices(since GSTIN for export is zero tax so no GSTIN number instead of GSTIN number Export code have to be replaced there)","Additional Field ""Import and Export Code"" in company profile"
PRO-001,Changed,Product,"Enable ""Basic Unit"" field in drop down","""Basic Unit"" with drop down including all the basic units"
PRO-002,Changed,Product,optional field have to be come near Order Unit / packing,"Display it as ""Order unit/packing (optional)"""
STO-001,Changed,Stock, Display Low stock as it is blinking like a animation,Blinking Animation
GRN-001,Changed,GRN,Watermark 'Approved' on approved Sales invoices(all the four invoices) PDF; 'Not Approved' on Draft PDF,Draft PDF shows 'Not Approved'; Approved PDF shows 'Approved' watermark
GRN-002,Changed,GRN, The manufacturing date is allowing future date also ( the mfg date must be past date),MFG date not allowing future date to select
GRN-003,Changed,GRN,"""Product Code"" or ""Product ID"" in Quotation it is ""Product ID"" but in GRN it is represented as ""Product Code""",Either Product ID or Product code in all the modules of Mecandria ERP
GRN-004,,GRN,"The system status is not showing ""Partial"" while we are receiving partial quantity","Status should show ""Partial"" for partial GRN quantity"
SI-001,Changed | Already Covered,Sales Invoices,"In all the PDFs, GST percentage is printing along with the term ""CGST""/""SGST""/""IGST""","Only ""CGST"",""SGST"""
SI-002,Changed | Already Covered,Sales Invoices,Add validation to MFG date and Exp date in sales invoice ," MFG date should allow only the past dates
 Exp date should allow only the future dates "
PAY-001,,Payables,Add new field “ Purchase order number “ related to supplier for advance payment ,"Display PO number in ""Payables"""
PAY-002,,Payables,"System is not considering advance payment.

i) After GRN, record payment should show the payment details based on the reference of PO number

ii) status should be ""advance Payment cleared"", ""Full payment cleared""

iii) PO number and GRN value should be displayed for Full payment cleared

iv) PO number should be displayed for Advance cleared",Correct display of status in payables
